    1024 ,      1 ,       0.59
    1024 ,      4 ,       0.67
    1024 ,     16 ,       0.65
    1024 ,     64 ,       0.68
    1024 ,    256 ,       0.65
    4096 ,      1 ,       4.77
    4096 ,      4 ,       5.97
    4096 ,     16 ,       5.12
    4096 ,     64 ,       5.19
    4096 ,    256 ,       5.32
   16384 ,      1 ,      27.75
   16384 ,      4 ,      37.45
   16384 ,     16 ,      42.00
   16384 ,     64 ,      42.16
   16384 ,    256 ,      42.64
   65536 ,      1 ,     106.32
   65536 ,      4 ,     223.47
   65536 ,     16 ,     302.20
   65536 ,     64 ,     338.57
   65536 ,    256 ,     333.79
  262144 ,      1 ,     273.72
  262144 ,      4 ,     848.80
  262144 ,     16 ,    1762.42
  262144 ,     64 ,    2250.36
  262144 ,    256 ,    2555.37
 1048576 ,      1 ,     549.93
 1048576 ,      4 ,    1637.26
 1048576 ,     16 ,    3240.17
 1048576 ,     64 ,    4356.10
 1048576 ,    256 ,    4212.19
